Txn Hash,Txn Initiation Date,Txn Input Amount,Txn Output Amount,Txn Input Address,Txn Output Address,Txn Fees,Mempool Count,Mempool Final Txn Date,Txn State,Txn Verification Date,Block Height,Txn Input Details,Txn Output Details,Miner Verification Time,Dust Bool,Block Hash,Block Validator,Block Date,Block Txn Count,Block Txn Amount,Block Size,Miner Reward,Block Txn Fees,Block Merkle Root Hash,Block Miner Hash,Block Difficulty,Block Nonce,Block Confirm
d239a7f41cbaae86bc3375b64078893aebb0b7bc27dede24d19a68fa731426a5,2024/1/23 23:47,0.03359129,0.03311103,2,4,0.00048026,41765,2024/1/15 16:22,Confirmed,2024/01/23 11:59:15 PM,827013,"[{""inputHash"": ""bc1q0ts98cp8jjcyqdrj5vj0sp2dhzaplkdez8quq6x5va4sywgt86yq383jqd"", ""isContract"": false, ""amount"": ""0.01886429""}, {""inputHash"": ""34dvEuT49pkDDCg9JPxLCbzqNVLT2G14YZ"", ""isContract"": false, ""amount"": ""0.014727""}]","[{""outputHash"": ""36DxGtFADgro3aRkhwK1zdv2TTMMzuZWBg"", ""isContract"": false, ""amount"": ""0.0001""}, {""outputHash"": ""185oGYZFubtERj1iZJ44kJz9gUQ9LwMYLD"", ""isContract"": false, ""amount"": ""0.0008993""}, {""outputHash"": ""bc1qd0k93uf79x4vhphse57cj6xhpmm5y8ptnvhaav"", ""isContract"": false, ""amount"": ""0.01067896""}, {""outputHash"": ""bc1qs9xg2yunt3dsfxr3tw9jr6pwjrmpmnzupna8ax2ny0htyy256rusyx4ywy"", ""isContract"": false, ""amount"": ""0.02143277""}]",735,0,00000000000000000003e052769ad0b96841904e725b791ae6b847dffa2c0303,F2Pool,1706025555000,3077,20265.86532731,1503995,708679759,83679759,e41de5d17bd274a91425f5654b4c85a8aeca9cc29a0f292993c276d8b00ec437,1K6KoYC69NnafWJ7YgtrpwJxBLiijWqwa6,70343519904866.8,0x469b1d29,18084
9ba07696d77a045d28fb1bb5c6138ad205f8cef11e45b69782e9557574b30cd2,2024/1/23 23:47,0.06289998,0.0627397,2,2,0.00016028,41765,2024/1/15 16:22,Confirmed,2024/01/23 11:59:15 PM,827013,"[{""inputHash"": ""bc1qvj07d8pazqx66h5z0weregah4r66gcsdgjthj4"", ""isContract"": false, ""amount"": ""0.05204969""}, {""inputHash"": ""bc1qvj07d8pazqx66h5z0weregah4r66gcsdgjthj4"", ""isContract"": false, ""amount"": ""0.01085029""}]","[{""outputHash"": ""1DDPsdbDgFVPkLhcue2dDahKYXz6JkxMie"", ""isContract"": false, ""amount"": ""0.02549681""}, {""outputHash"": ""bc1qvj07d8pazqx66h5z0weregah4r66gcsdgjthj4"", ""isContract"": false, ""amount"": ""0.03724289""}]",735,0,00000000000000000003e052769ad0b96841904e725b791ae6b847dffa2c0303,F2Pool,1706025555000,3077,20265.86532731,1503995,708679759,83679759,e41de5d17bd274a91425f5654b4c85a8aeca9cc29a0f292993c276d8b00ec437,1K6KoYC69NnafWJ7YgtrpwJxBLiijWqwa6,70343519904866.8,0x469b1d29,18084
23894a83ed7817e26b46704c6151df9033df3e233344582cddbc3a83b6bd91ba,2024/1/23 23:47,0.00013466,5.46E-06,1,1,0.0001292,41765,2024/1/15 16:22,Confirmed,2024/01/23 11:59:15 PM,827013,"[{""inputHash"": ""bc1pycgdwrg6sujcnlzjreztfsqe006gt52q73mj68mjlh4fe8lajs5sk9xx46"", ""isContract"": false, ""amount"": ""0.00013466""}]","[{""outputHash"": ""bc1p26jt92mrf3uqfldszfmtegzsgmgstancx5n9ksyukqd79qeyt2lqm2wqdv"", ""isContract"": false, ""amount"": ""0.00000546""}]",735,1,00000000000000000003e052769ad0b96841904e725b791ae6b847dffa2c0303,F2Pool,1706025555000,3077,20265.86532731,1503995,708679759,83679759,e41de5d17bd274a91425f5654b4c85a8aeca9cc29a0f292993c276d8b00ec437,1K6KoYC69NnafWJ7YgtrpwJxBLiijWqwa6,70343519904866.8,0x469b1d29,18084
1454f7b9926cd8a2242d8fb6786aebb4673ca955437bc68b2139271be170b7f2,2024/1/23 23:47,0.00377641,0.00364551,1,2,0.0001309,41765,2024/1/15 16:22,Confirmed,2024/01/23 11:59:15 PM,827013,"[{""inputHash"": ""bc1p26jt92mrf3uqfldszfmtegzsgmgstancx5n9ksyukqd79qeyt2lqm2wqdv"", ""isContract"": false, ""amount"": ""0.00377641""}]","[{""outputHash"": ""bc1pycgdwrg6sujcnlzjreztfsqe006gt52q73mj68mjlh4fe8lajs5sk9xx46"", ""isContract"": false, ""amount"": ""0.00013466""}, {""outputHash"": ""bc1p26jt92mrf3uqfldszfmtegzsgmgstancx5n9ksyukqd79qeyt2lqm2wqdv"", ""isContract"": false, ""amount"": ""0.00351085""}]",735,0,00000000000000000003e052769ad0b96841904e725b791ae6b847dffa2c0303,F2Pool,1706025555000,3077,20265.86532731,1503995,708679759,83679759,e41de5d17bd274a91425f5654b4c85a8aeca9cc29a0f292993c276d8b00ec437,1K6KoYC69NnafWJ7YgtrpwJxBLiijWqwa6,70343519904866.8,0x469b1d29,18084
666f7a1eca183f31b24d69c3150cbfd232cdd0a2822240f79f247486f72ea4e7,2024/1/23 23:47,0.01396052,0.01377292,1,2,0.0001876,41765,2024/1/15 16:22,Confirmed,2024/01/23 11:59:15 PM,827013,"[{""inputHash"": ""bc1q8n4x404q2lkgwwddw5e6e8tsu960jhjt2q6p4r"", ""isContract"": false, ""amount"": ""0.01396052""}]","[{""outputHash"": ""bc1qp2k98s2drnaf29dfguzk5e6ntnmpz7c8yf705u"", ""isContract"": false, ""amount"": ""0.00612387""}, {""outputHash"": ""bc1qk3f2hq7ahsyr5uj7gjakqrvuwakc2q8dux6xhk"", ""isContract"": false, ""amount"": ""0.00764905""}]",735,0,00000000000000000003e052769ad0b96841904e725b791ae6b847dffa2c0303,F2Pool,1706025555000,3077,20265.86532731,1503995,708679759,83679759,e41de5d17bd274a91425f5654b4c85a8aeca9cc29a0f292993c276d8b00ec437,1K6KoYC69NnafWJ7YgtrpwJxBLiijWqwa6,70343519904866.8,0x469b1d29,18084
65b1983291984ac6f932fe9b7ef00fd17d7ac70ae1319404beba99a3738e2fc5,2024/1/23 23:47,0.00620579,0.00601409,1,2,0.0001917,41765,2024/1/15 16:22,Confirmed,2024/01/23 11:59:15 PM,827013,"[{""inputHash"": ""bc1qpnaql04s7exq7f9lcwlvt95x3kjm9qvkk88akc"", ""isContract"": false, ""amount"": ""0.00620579""}]","[{""outputHash"": ""37bjyXiMqdNDLXbW87NAfsgXLtdzne5M5A"", ""isContract"": false, ""amount"": ""0.00577404""}, {""outputHash"": ""bc1qpnaql04s7exq7f9lcwlvt95x3kjm9qvkk88akc"", ""isContract"": false, ""amount"": ""0.00024005""}]",735,0,00000000000000000003e052769ad0b96841904e725b791ae6b847dffa2c0303,F2Pool,1706025555000,3077,20265.86532731,1503995,708679759,83679759,e41de5d17bd274a91425f5654b4c85a8aeca9cc29a0f292993c276d8b00ec437,1K6KoYC69NnafWJ7YgtrpwJxBLiijWqwa6,70343519904866.8,0x469b1d29,18084
25bdd28a095c36ff6f4914eee04f4c80854a79492e1f69e088b72a6598b6f32c,2024/1/23 23:47,0.00185685,0.00163761,3,2,0.00021924,41765,2024/1/15 16:22,Confirmed,2024/01/23 11:59:15 PM,827013,"[{""inputHash"": ""bc1qrafrg7cm64hc77cxq4ykl7pccz0nghkz3dnm5j"", ""isContract"": false, ""amount"": ""0.00154799""}, {""inputHash"": ""bc1quf6mrne25e7vqfhtsdy8n58x3lx5tz9736hs30"", ""isContract"": false, ""amount"": ""0.00006487""}, {""inputHash"": ""bc1qm38c5d27k38r4cjzegr99vjmp8egdchtj4q5uk"", ""isContract"": false, ""amount"": ""0.00024399""}]","[{""outputHash"": ""3BLj5zbtuYd4QpaXWkPCUCq3Brw84peeqZ"", ""isContract"": false, ""amount"": ""0.0003""}, {""outputHash"": ""bc1q62v30qjwg6l4feyyht48ksmw5tgx32lrq5aulk"", ""isContract"": false, ""amount"": ""0.00133761""}]",735,0,00000000000000000003e052769ad0b96841904e725b791ae6b847dffa2c0303,F2Pool,1706025555000,3077,20265.86532731,1503995,708679759,83679759,e41de5d17bd274a91425f5654b4c85a8aeca9cc29a0f292993c276d8b00ec437,1K6KoYC69NnafWJ7YgtrpwJxBLiijWqwa6,70343519904866.8,0x469b1d29,18084
949a7dfe36f07edfca71f1d1cb3f2f792b770f6d05e33a369d5f49ba23c1a861,2024/1/23 23:47,0.22677213,0.22631709,6,2,0.00045504,41765,2024/1/15 16:22,Confirmed,2024/01/23 11:59:15 PM,827013,"[{""inputHash"": ""3QDkkeN3hJBcqoxr6cgTdX49tAXRRUFhFN"", ""isContract"": false, ""amount"": ""0.08169""}, {""inputHash"": ""3QDkkeN3hJBcqoxr6cgTdX49tAXRRUFhFN"", ""isContract"": false, ""amount"": ""0.0469339""}, {""inputHash"": ""3QDkkeN3hJBcqoxr6cgTdX49tAXRRUFhFN"", ""isContract"": false, ""amount"": ""0.02578919""}, {""inputHash"": ""3QDkkeN3hJBcqoxr6cgTdX49tAXRRUFhFN"", ""isContract"": false, ""amount"": ""0.02498263""}, {""inputHash"": ""3QDkkeN3hJBcqoxr6cgTdX49tAXRRUFhFN"", ""isContract"": false, ""amount"": ""0.02475954""}, {""inputHash"": ""3QDkkeN3hJBcqoxr6cgTdX49tAXRRUFhFN"", ""isContract"": false, ""amount"": ""0.02261687""}]","[{""outputHash"": ""1CTsAQiR3rY81y5TEGiY9FzoPv3XBDJM1s"", ""isContract"": false, ""amount"": ""0.22586""}, {""outputHash"": ""32rpTwkDtrM8EfLtZCQWnRcEvtRuW7qdZv"", ""isContract"": false, ""amount"": ""0.00045709""}]",735,0,00000000000000000003e052769ad0b96841904e725b791ae6b847dffa2c0303,F2Pool,1706025555000,3077,20265.86532731,1503995,708679759,83679759,e41de5d17bd274a91425f5654b4c85a8aeca9cc29a0f292993c276d8b00ec437,1K6KoYC69NnafWJ7YgtrpwJxBLiijWqwa6,70343519904866.8,0x469b1d29,18084
7c06b2bfe55bcd133b814bca2f362677382085ff08972b45fc8c24672ddf6cb3,2024/1/23 23:47,0.00686975,0.00670703,1,2,0.00016272,41765,2024/1/15 16:22,Confirmed,2024/01/23 11:59:15 PM,827013,"[{""inputHash"": ""18U5ZQmkYGF32uqXrTNjagQ1VJedeGrYaR"", ""isContract"": false, ""amount"": ""0.00686975""}]","[{""outputHash"": ""13VLZH6Pm3USeuqt1AxHGiZbWS4DsyseUG"", ""isContract"": false, ""amount"": ""0.00662301""}, {""outputHash"": ""18U5ZQmkYGF32uqXrTNjagQ1VJedeGrYaR"", ""isContract"": false, ""amount"": ""0.00008402""}]",735,0,00000000000000000003e052769ad0b96841904e725b791ae6b847dffa2c0303,F2Pool,1706025555000,3077,20265.86532731,1503995,708679759,83679759,e41de5d17bd274a91425f5654b4c85a8aeca9cc29a0f292993c276d8b00ec437,1K6KoYC69NnafWJ7YgtrpwJxBLiijWqwa6,70343519904866.8,0x469b1d29,18084
7a81d02fcc7ec186fca9a7121720defff106f2bdfd6d10620b5991036a8381cd,2024/1/23 23:47,0.11418446,0.11406879,1,2,0.00011567,41765,2024/1/15 16:22,Confirmed,2024/01/23 11:59:15 PM,827013,"[{""inputHash"": ""bc1q4lmkl4updty0yr0wcpg3xcq320sveycsuqjwhy"", ""isContract"": false, ""amount"": ""0.11418446""}]","[{""outputHash"": ""3ByT9qtweuPeeKZzQQdEJZpVNC4EzZyM1m"", ""isContract"": false, ""amount"": ""0.00055211""}, {""outputHash"": ""bc1qyyms3vyv9sshxnrugk9mzqq904hhq2ls9la9hh"", ""isContract"": false, ""amount"": ""0.11351668""}]",735,0,00000000000000000003e052769ad0b96841904e725b791ae6b847dffa2c0303,F2Pool,1706025555000,3077,20265.86532731,1503995,708679759,83679759,e41de5d17bd274a91425f5654b4c85a8aeca9cc29a0f292993c276d8b00ec437,1K6KoYC69NnafWJ7YgtrpwJxBLiijWqwa6,70343519904866.8,0x469b1d29,18084
