Txn Hash,Txn Initiation Date,Txn Input Amount,Txn Output Amount,Txn Input Address,Txn Output Address,Txn Fees,Mempool Count,Mempool Final Txn Date,Txn State,Txn Verification Date,Block Height,Txn Input Details,Txn Output Details,Miner Verification Time,Dust Bool,Block Hash,Block Validator,Block Date,Block Txn Count,Block Txn Amount,Block Size,Miner Reward,Block Txn Fees,Block Merkle Root Hash,Block Miner Hash,Block Difficulty,Block Nonce,Block Confirm
b3dab91d90abf2d229f1b10b2f97bcc726f6ed1dae920aee4a954fb01bc6258b,2024/1/22 23:46,0.1292833,0.12917755,2,2,0.00010575,23264,2024/1/2 00:55,Confirmed,2024/01/23 12:04:02 AM,826857,"[{""inputHash"": ""bc1plll9f067a732gmpj2a727u00x0nfehzpx4c323t05rz3uwk9g9zqs8muau"", ""isContract"": false, ""amount"": ""0.085""}, {""inputHash"": ""bc1plll9f067a732gmpj2a727u00x0nfehzpx4c323t05rz3uwk9g9zqs8muau"", ""isContract"": false, ""amount"": ""0.0442833""}]","[{""outputHash"": ""bc1pdl3l39qydstqt4dv78cagg9ntzurg6aeeqm8h6l6d2sxf20ujgnqa0dd9h"", ""isContract"": false, ""amount"": ""0.1""}, {""outputHash"": ""bc1plll9f067a732gmpj2a727u00x0nfehzpx4c323t05rz3uwk9g9zqs8muau"", ""isContract"": false, ""amount"": ""0.02917755""}]",1082,0,000000000000000000007f631ce4d92a411eda3ff0d9e5b8c90d77fa1fc24926,Foundry USA,1705939442000,2925,3925.70277699,1636276,669234927,44234927,b205b24046b14a5be08dd3ed9e3ed91fac968b98e1fbc0b97f8c0ec554d99c79,bc1qxhmdufsvnuaaaer4ynz88fspdsxq2h9e9cetdj,70343519904866.8,0x7fb71055,18240
8706aea5f08b21ed2e70c8dbc8f3b57c027ebd5b7fd0bce8e6e94b4ee54ec7f4,2024/1/22 23:46,6.14E-05,1.00E-05,1,1,5.14E-05,23264,2024/1/2 00:55,Confirmed,2024/01/23 12:41:11 AM,826862,"[{""inputHash"": ""bc1pflgcpz33ccxt9wkhja6lpsk4euqfsdwt533fc2nxlvhhvsnz65zqjkvau5"", ""isContract"": false, ""amount"": ""0.00006137""}]","[{""outputHash"": ""bc1pwg73vhz6mdzln8qc5kmvgv0l2eup3ylga7jrk4g8k8jd8wkr6ufq9a7fva"", ""isContract"": false, ""amount"": ""0.00001""}]",3311,1,000000000000000000003a4ebf9748044de2d0b7216d8821e7ebadd0acf9fabe,Poolin,1705941671000,2424,9506.26659508,1604839,674652585,49652585,2078933219eb2bcc68842659b13426742c1af7c90c74417608cf4ad3887167b5,33TbzA5AMiTKUCmeVEdsnTj3GiVXuavCAH,70343519904866.8,0x2acec085,18235
4b0ff802c803ab75ede37d5d983d3860bc3775623d4cba69862d3053768e3292,2024/1/22 23:46,0.00266353,0.00256957,1,3,9.40E-05,23264,2024/1/2 00:55,Confirmed,2024/01/23 12:04:02 AM,826857,"[{""inputHash"": ""bc1quxjnl0r2k9g2l365384ugpjuwmm7dhdfflmpuu"", ""isContract"": false, ""amount"": ""0.00266353""}]","[{""outputHash"": ""bc1qkfj43sgxqcglc2ydk0v34re523ent6qhd8v7me"", ""isContract"": false, ""amount"": ""0.00253035""}, {""outputHash"": ""bc1quxjnl0r2k9g2l365384ugpjuwmm7dhdfflmpuu"", ""isContract"": false, ""amount"": ""0.00003922""}, {""outputHash"": ""unknown"", ""isContract"": false, ""amount"": ""0""}]",1082,0,000000000000000000007f631ce4d92a411eda3ff0d9e5b8c90d77fa1fc24926,Foundry USA,1705939442000,2925,3925.70277699,1636276,669234927,44234927,b205b24046b14a5be08dd3ed9e3ed91fac968b98e1fbc0b97f8c0ec554d99c79,bc1qxhmdufsvnuaaaer4ynz88fspdsxq2h9e9cetdj,70343519904866.8,0x7fb71055,18240
ec7d989e08f053a3ecbf11033d7b72c888135db24f58e9902182c93d17917f9c,2024/1/22 23:46,0.04825564,0.04814355,2,2,0.00011209,23264,2024/1/2 00:55,Confirmed,2024/01/23 12:03:47 AM,826856,"[{""inputHash"": ""bc1qjxfvygfmd6ycwd4up3vzcr4tr6an9tpqmwx5x0"", ""isContract"": false, ""amount"": ""0.00007471""}, {""inputHash"": ""bc1qjxfvygfmd6ycwd4up3vzcr4tr6an9tpqmwx5x0"", ""isContract"": false, ""amount"": ""0.04818093""}]","[{""outputHash"": ""1AxJLjqaUiF3Jw8WpHG6aGBv89pdoXpL8Q"", ""isContract"": false, ""amount"": ""0.04807467""}, {""outputHash"": ""bc1qjxfvygfmd6ycwd4up3vzcr4tr6an9tpqmwx5x0"", ""isContract"": false, ""amount"": ""0.00006888""}]",1067,0,000000000000000000018e8ee965712ea0a2982dcd8ad8022bb09d2361b6e6a6,AntPool,1705939427000,3418,22191.03950055,1560653,689909762,64909762,d8da880df3fda3703d8971e97105e1e02a6f152b95b8bd7f36ffe5c71cc9c527,37jKPSmbEGwgfacCr2nayn1wTaqMAbA94Z,70343519904866.8,0x0658227a,18241
bb32cce2a0fa92cbb8c6c357bf610deaac674103ba522f1b999fecee55ef79d3,2024/1/22 23:46,0.00243372,0.00235122,1,1,8.25E-05,23264,2024/1/2 00:55,Confirmed,2024/01/23 12:03:47 AM,826856,"[{""inputHash"": ""bc1q6cvtx52nufd8h0qc4kmr8mpfv5cx32pja7c69h"", ""isContract"": false, ""amount"": ""0.00243372""}]","[{""outputHash"": ""bc1qqzjhv62xxfsgutd7g6qqp38hnw0xxtm4lwdntv"", ""isContract"": false, ""amount"": ""0.00235122""}]",1067,0,000000000000000000018e8ee965712ea0a2982dcd8ad8022bb09d2361b6e6a6,AntPool,1705939427000,3418,22191.03950055,1560653,689909762,64909762,d8da880df3fda3703d8971e97105e1e02a6f152b95b8bd7f36ffe5c71cc9c527,37jKPSmbEGwgfacCr2nayn1wTaqMAbA94Z,70343519904866.8,0x0658227a,18241
3785fbbcc67da7aa0dc105b018863ae8a86a194034c36a1dd86dc12204cde31f,2024/1/22 23:46,0.02272008,0.02257087,3,2,0.00014921,23264,2024/1/2 00:55,Confirmed,2024/01/23 12:04:02 AM,826857,"[{""inputHash"": ""39nyhTNHjsUyDur5cikfso9ggNn6ESQASW"", ""isContract"": false, ""amount"": ""0.01443305""}, {""inputHash"": ""39nyhTNHjsUyDur5cikfso9ggNn6ESQASW"", ""isContract"": false, ""amount"": ""0.00765097""}, {""inputHash"": ""39nyhTNHjsUyDur5cikfso9ggNn6ESQASW"", ""isContract"": false, ""amount"": ""0.00063606""}]","[{""outputHash"": ""3JcXsrvjhag4gjmC6Q9h99yuKvtefB4aih"", ""isContract"": false, ""amount"": ""0.0225""}, {""outputHash"": ""39nyhTNHjsUyDur5cikfso9ggNn6ESQASW"", ""isContract"": false, ""amount"": ""0.00007087""}]",1082,0,000000000000000000007f631ce4d92a411eda3ff0d9e5b8c90d77fa1fc24926,Foundry USA,1705939442000,2925,3925.70277699,1636276,669234927,44234927,b205b24046b14a5be08dd3ed9e3ed91fac968b98e1fbc0b97f8c0ec554d99c79,bc1qxhmdufsvnuaaaer4ynz88fspdsxq2h9e9cetdj,70343519904866.8,0x7fb71055,18240
2c57c840433c9db63c68bd2e699cdb5eee14868f81c5cae394689d1b1bc788bd,2024/1/22 23:46,0.01746746,0.01738286,2,2,8.46E-05,23264,2024/1/2 00:55,Confirmed,2024/01/23 12:04:02 AM,826857,"[{""inputHash"": ""bc1pvl8n3eu8gttkrtmc6t9xsqfrqxkqq3xdswrfaw04pjys9elkxlnqn7lxa3"", ""isContract"": false, ""amount"": ""0.00946746""}, {""inputHash"": ""bc1pvl8n3eu8gttkrtmc6t9xsqfrqxkqq3xdswrfaw04pjys9elkxlnqn7lxa3"", ""isContract"": false, ""amount"": ""0.008""}]","[{""outputHash"": ""bc1p3sac5marvuz70nmwa9hgrwyv58f6s7922u0j6vevshku8vrxl2mq3w4wkf"", ""isContract"": false, ""amount"": ""0.01325""}, {""outputHash"": ""bc1pvl8n3eu8gttkrtmc6t9xsqfrqxkqq3xdswrfaw04pjys9elkxlnqn7lxa3"", ""isContract"": false, ""amount"": ""0.00413286""}]",1082,0,000000000000000000007f631ce4d92a411eda3ff0d9e5b8c90d77fa1fc24926,Foundry USA,1705939442000,2925,3925.70277699,1636276,669234927,44234927,b205b24046b14a5be08dd3ed9e3ed91fac968b98e1fbc0b97f8c0ec554d99c79,bc1qxhmdufsvnuaaaer4ynz88fspdsxq2h9e9cetdj,70343519904866.8,0x7fb71055,18240
2b60cc3e08869d31fe4504b2d17a966156488dd778bb07c0a0f7341a4cfe22b5,2024/1/22 23:46,0.02888286,0.02878326,1,2,9.96E-05,23264,2024/1/2 00:55,Confirmed,2024/01/23 12:03:47 AM,826856,"[{""inputHash"": ""3PDJdHxc5YMbNkUg6jxYcyMdKxxExPADfg"", ""isContract"": false, ""amount"": ""0.02888286""}]","[{""outputHash"": ""33sospHEC8dgZ5gXzwHLSShpf59FhVgD8m"", ""isContract"": false, ""amount"": ""0.0285""}, {""outputHash"": ""3PDJdHxc5YMbNkUg6jxYcyMdKxxExPADfg"", ""isContract"": false, ""amount"": ""0.00028326""}]",1067,0,000000000000000000018e8ee965712ea0a2982dcd8ad8022bb09d2361b6e6a6,AntPool,1705939427000,3418,22191.03950055,1560653,689909762,64909762,d8da880df3fda3703d8971e97105e1e02a6f152b95b8bd7f36ffe5c71cc9c527,37jKPSmbEGwgfacCr2nayn1wTaqMAbA94Z,70343519904866.8,0x0658227a,18241
eecf7beae542083206ffdd98a34964951b7763a7d67d2fc15c9458d65ca07cb4,2024/1/22 23:46,0.00881506,0.00873554,1,2,7.95E-05,23264,2024/1/2 00:55,Confirmed,2024/01/23 12:03:47 AM,826856,"[{""inputHash"": ""bc1qnqda6f75hx8m88r84xz9eq56mwxwjrgj8nx9jp"", ""isContract"": false, ""amount"": ""0.00881506""}]","[{""outputHash"": ""33rsnA3HzZrKSbfemkoW2BbeHer7KvdXAq"", ""isContract"": false, ""amount"": ""0.0005""}, {""outputHash"": ""bc1qnqda6f75hx8m88r84xz9eq56mwxwjrgj8nx9jp"", ""isContract"": false, ""amount"": ""0.00823554""}]",1067,0,000000000000000000018e8ee965712ea0a2982dcd8ad8022bb09d2361b6e6a6,AntPool,1705939427000,3418,22191.03950055,1560653,689909762,64909762,d8da880df3fda3703d8971e97105e1e02a6f152b95b8bd7f36ffe5c71cc9c527,37jKPSmbEGwgfacCr2nayn1wTaqMAbA94Z,70343519904866.8,0x0658227a,18241
7d63007b92900151063b2c5d45a14ba2e997b814b8096d39f86c1e1b1f8b9cbf,2024/1/22 23:46,0.44612065,0.44605153,1,2,6.91E-05,23264,2024/1/2 00:55,Confirmed,2024/01/23 12:03:47 AM,826856,"[{""inputHash"": ""bc1qnfw0gkk05qxl38mslc69hc6vc64mksyw6zzxhg"", ""isContract"": false, ""amount"": ""0.44612065""}]","[{""outputHash"": ""196kBUcwGnMV5gfBDsH2X5wNqGKFJRi2nR"", ""isContract"": false, ""amount"": ""0.04570211""}, {""outputHash"": ""bc1qnfw0gkk05qxl38mslc69hc6vc64mksyw6zzxhg"", ""isContract"": false, ""amount"": ""0.40034942""}]",1067,0,000000000000000000018e8ee965712ea0a2982dcd8ad8022bb09d2361b6e6a6,AntPool,1705939427000,3418,22191.03950055,1560653,689909762,64909762,d8da880df3fda3703d8971e97105e1e02a6f152b95b8bd7f36ffe5c71cc9c527,37jKPSmbEGwgfacCr2nayn1wTaqMAbA94Z,70343519904866.8,0x0658227a,18241
