Txn Hash,Txn Initiation Date,Txn Input Amount,Txn Output Amount,Txn Input Address,Txn Output Address,Txn Fees,Mempool Count,Mempool Final Txn Date,Txn State,Txn Verification Date,Block Height,Txn Input Details,Txn Output Details,Miner Verification Time,Dust Bool,Block Hash,Block Validator,Block Date,Block Txn Count,Block Txn Amount,Block Size,Miner Reward,Block Txn Fees,Block Merkle Root Hash,Block Miner Hash,Block Difficulty,Block Nonce,Block Confirm
f9f1824c6d87d5be080ddfdf03e28d5da5b8b6785e4af26ad2a2873468ec8027,2024/1/19 23:44,0.00937032,0.00869139,2,4,0.00067893,139865,2024/1/2 00:55,Confirmed,2024/01/20 12:18:01 AM,826426,"[{""inputHash"": ""bc1qttdemlfgzqkwfx283pjltc58xj7n8txlef5l86"", ""isContract"": false, ""amount"": ""0.00000547""}, {""inputHash"": ""bc1qgypkdrguwf6f3km06ex47f3sj7lp3cy0s9mwtu"", ""isContract"": false, ""amount"": ""0.00936485""}]","[{""outputHash"": ""bc1qf44qg7f99a2m6z8aj70xmxqhdu78ehwtwxc9m5"", ""isContract"": false, ""amount"": ""0.00867""}, {""outputHash"": ""1F4gV9xiUbbDfdZVoSGcJWjy2psyiULQna"", ""isContract"": false, ""amount"": ""0.00000796""}, {""outputHash"": ""1NQCQGWzkBQorX9mVH7AjBTa9R7h75CFv3"", ""isContract"": false, ""amount"": ""0.00000796""}, {""outputHash"": ""bc1qttdemlfgzqkwfx283pjltc58xj7n8txlef5l86"", ""isContract"": false, ""amount"": ""0.00000547""}]",2041,0,000000000000000000016b3b04564371476a2b1db8f16d8de53cbd363ba20341,F2Pool,1705681081000,3507,19188.44635083,1618330,719666704,94666704,ab4f5bd7aaa6abaacdd0d6b90b06e1ba7552aa86c9580f4f7a9c141cf20f04b8,1K6KoYC69NnafWJ7YgtrpwJxBLiijWqwa6,73197634206448.34,0xc351c555,18671
d5843127f5a84c44c18ec795afae3d0332d1d25de6f57d3d375b691549d78a3d,2024/1/19 23:44,0.00228496,0.00211953,2,2,0.00016543,139865,2024/1/2 00:55,Confirmed,2024/01/20 12:20:22 AM,826427,"[{""inputHash"": ""3MVWNgvejUaM1gHbEFSumnPK4qYKB3hiS3"", ""isContract"": false, ""amount"": ""0.00058355""}, {""inputHash"": ""3CNuHGYT3NvLXpSLj2hunbeE5Snx4h8W11"", ""isContract"": false, ""amount"": ""0.00170141""}]","[{""outputHash"": ""3CmavPpyWJJTFk1P6hE3SHk2uwh1Xwx2nW"", ""isContract"": false, ""amount"": ""0.00004056""}, {""outputHash"": ""bc1q9venyxf23yaa6rcluqkm4h4dgfrk9ltywvqjg2"", ""isContract"": false, ""amount"": ""0.00207897""}]",2182,0,00000000000000000003ba29fcd36fc73c124244345c0eef44367b6565f0db1e,Foundry USA,1705681222000,2819,9846.92703665,1562374,695301134,70301134,824b81645ba7564f93e1b40272254fe5380f7e00874a0403a217306568226c44,bc1qxhmdufsvnuaaaer4ynz88fspdsxq2h9e9cetdj,73197634206448.34,0x58b95927,18670
b510fec24b014e7be54dfa3fe1b8e53aa3ce8176d3f69ffee347879060e14f53,2024/1/19 23:44,0.31105523,0.31083992,1,2,0.00021531,139865,2024/1/2 00:55,Confirmed,2024/01/20 12:07:41 AM,826425,"[{""inputHash"": ""bc1q288mm62yv0t7pgvldg8t8h95geaa8wf5880ymehqqvqtfnxr9kwswj35ry"", ""isContract"": false, ""amount"": ""0.31105523""}]","[{""outputHash"": ""bc1qcw4xsmvwf3u9gy2t46zz86l9jrtqvzm9yzz8r7"", ""isContract"": false, ""amount"": ""0.00092893""}, {""outputHash"": ""bc1qy7jwfflsfslmr4wq9mgn9qa7l5sx33ljf0qq6wspgq2se0c4g79qjh3rsm"", ""isContract"": false, ""amount"": ""0.30991099""}]",1421,0,00000000000000000001083391ebdfe269b07313003fba509ab5fe4100c11ebb,F2Pool,1705680461000,3264,34199.23568135,1594515,765345062,140345062,d103aa972a5f9c748e371b974e41ef5e5fc5ac7815842b8d6bc18582335661ae,1K6KoYC69NnafWJ7YgtrpwJxBLiijWqwa6,73197634206448.34,0x0cd5be74,18672
b2103d1f96f9faf788b5f56bb856ffe39223d6068f20f65b193d44b4b643b5bb,2024/1/19 23:44,0.02815,0.02789163,1,2,0.00025837,139865,2024/1/2 00:55,Confirmed,2024/01/20 12:07:41 AM,826425,"[{""inputHash"": ""3PvqUyELsNhx59HutaCgGFzd2GPhpvxYCg"", ""isContract"": false, ""amount"": ""0.02815""}]","[{""outputHash"": ""bc1q8xslnjxx2m89pklf672q9fhm50pj3dwuguuxwh0vnnhgx2zm8ezqz8rh2c"", ""isContract"": false, ""amount"": ""0.01191852""}, {""outputHash"": ""1Cxmjb2iQrDCmUzTLNeAV3BMLZdobtpyJA"", ""isContract"": false, ""amount"": ""0.01597311""}]",1421,0,00000000000000000001083391ebdfe269b07313003fba509ab5fe4100c11ebb,F2Pool,1705680461000,3264,34199.23568135,1594515,765345062,140345062,d103aa972a5f9c748e371b974e41ef5e5fc5ac7815842b8d6bc18582335661ae,1K6KoYC69NnafWJ7YgtrpwJxBLiijWqwa6,73197634206448.34,0x0cd5be74,18672
9777e1b9d6e4cf0b6b1bd8e7d1194c3f6ee0d0a5269bccbeac1a293d7901426e,2024/1/19 23:44,0.00267722,0.0026145,1,1,6.27E-05,139865,2024/1/2 00:55,Confirmed,2024/01/20 12:52:03 AM,826429,"[{""inputHash"": ""bc1q3jqu2ufrmftx8xrrah3gkkcvrfvnpf9meww6t6"", ""isContract"": false, ""amount"": ""0.00267722""}]","[{""outputHash"": ""bc1quunhxy4emt9grd4upuaydny04lp4hxezzrmtdk"", ""isContract"": false, ""amount"": ""0.0026145""}]",4083,0,000000000000000000004db05987cd5a13a7007b9ad14d973ec133299cab5d03,Foundry USA,1705683123000,3340,6774.09133793,1598757,699672193,74672193,8fbe746221939905fe94826971647a084eb83ce1e5d410bf32ef2801d17c94e7,bc1qxhmdufsvnuaaaer4ynz88fspdsxq2h9e9cetdj,73197634206448.34,0xde6d3e15,18668
927ed4e4ed579940faba92f8e38dbc10dd8af5b42b61adecd166ebf7f006fb00,2024/1/19 23:44,0.00731518,0.00719308,1,2,0.0001221,139865,2024/1/2 00:55,Confirmed,2024/01/20 12:18:01 AM,826426,"[{""inputHash"": ""bc1q3qzafns62jxvx9kj0e36kmuqewtmy9wnsn26ut"", ""isContract"": false, ""amount"": ""0.00731518""}]","[{""outputHash"": ""bc1q3qzafns62jxvx9kj0e36kmuqewtmy9wnsn26ut"", ""isContract"": false, ""amount"": ""0.00528383""}, {""outputHash"": ""bc1q63sekw4fq75a0vst3xcmnfgj4mdlxw9qtfkgg2"", ""isContract"": false, ""amount"": ""0.00190925""}]",2041,0,000000000000000000016b3b04564371476a2b1db8f16d8de53cbd363ba20341,F2Pool,1705681081000,3507,19188.44635083,1618330,719666704,94666704,ab4f5bd7aaa6abaacdd0d6b90b06e1ba7552aa86c9580f4f7a9c141cf20f04b8,1K6KoYC69NnafWJ7YgtrpwJxBLiijWqwa6,73197634206448.34,0xc351c555,18671
7eab9de55feef972fc5687b0ea23c4f6a0fa841a6635cd9fcba3519fa254507c,2024/1/19 23:44,0.11004627,0.10932,6,1,0.00072627,139865,2024/1/2 00:55,Confirmed,2024/01/20 12:18:01 AM,826426,"[{""inputHash"": ""1B4FFR7ZvWiBPNFcZdHWub49ymtbbrabJ3"", ""isContract"": false, ""amount"": ""0.00135852""}, {""inputHash"": ""19LtzqNHmyQzYUUcF2465jJsLy3QZCnm1V"", ""isContract"": false, ""amount"": ""0.01125894""}, {""inputHash"": ""1Lu4a77H5fqqZ3bbuhaHfZKfLhFi3x7jbG"", ""isContract"": false, ""amount"": ""0.02670062""}, {""inputHash"": ""1LpxEW4qfCGf2AdPzjKips33Z3bGVcJoGr"", ""isContract"": false, ""amount"": ""0.03148007""}, {""inputHash"": ""12YHgW5Ycy9PajbStfkoLyfL9YYqq8nxtR"", ""isContract"": false, ""amount"": ""0.01640449""}, {""inputHash"": ""16EUJD6CoGdm9GaWGirMHxW2eEAaMjtKSs"", ""isContract"": false, ""amount"": ""0.02284363""}]","[{""outputHash"": ""1PxAWt9eTkMZj6UB61SN6s6aEtPA5Vosn6"", ""isContract"": false, ""amount"": ""0.10932""}]",2041,0,000000000000000000016b3b04564371476a2b1db8f16d8de53cbd363ba20341,F2Pool,1705681081000,3507,19188.44635083,1618330,719666704,94666704,ab4f5bd7aaa6abaacdd0d6b90b06e1ba7552aa86c9580f4f7a9c141cf20f04b8,1K6KoYC69NnafWJ7YgtrpwJxBLiijWqwa6,73197634206448.34,0xc351c555,18671
6d4e373ec0c2bec6a67094161a21fdf5aa78474c94e4d6a9c7a4e9be84a4f519,2024/1/19 23:44,1.17867768,1.17852528,1,2,0.0001524,139865,2024/1/2 00:55,Confirmed,2024/01/20 12:18:01 AM,826426,"[{""inputHash"": ""bc1qsfzgneslehkm06mnc94kugttq0x2vzwhzv0v09fdn6wgqfpx8qmqxmmav2"", ""isContract"": false, ""amount"": ""1.17867768""}]","[{""outputHash"": ""16TiAjXLxA4QFBRTbwsYvfNC7j35hCc4NL"", ""isContract"": false, ""amount"": ""0.02845852""}, {""outputHash"": ""bc1qprwscsmvvp7cxfhkjm75sfgp30xt757pefkncpqmfa9njxejt3mskeaju2"", ""isContract"": false, ""amount"": ""1.15006676""}]",2041,0,000000000000000000016b3b04564371476a2b1db8f16d8de53cbd363ba20341,F2Pool,1705681081000,3507,19188.44635083,1618330,719666704,94666704,ab4f5bd7aaa6abaacdd0d6b90b06e1ba7552aa86c9580f4f7a9c141cf20f04b8,1K6KoYC69NnafWJ7YgtrpwJxBLiijWqwa6,73197634206448.34,0xc351c555,18671
6238d9e22d53e5e5bb27c597f80fff73058a66e1ebdec32a871b5d89c15b9da7,2024/1/19 23:44,0.0061872,0.0061096,1,2,7.76E-05,139865,2024/1/2 00:55,Confirmed,2024/01/20 06:13:13 AM,826458,"[{""inputHash"": ""bc1pszrn5ra5dtz8eye8m8x2jmvkfkdyadp4675f04u57rp0xqn045eqsr2f3h"", ""isContract"": false, ""amount"": ""0.0061872""}]","[{""outputHash"": ""bc1pvp9cxfctttfk40kp73q5xn4qmh2kvprmp4pf899pacscs577dpxsecvp8w"", ""isContract"": false, ""amount"": ""0.001""}, {""outputHash"": ""bc1p5gjjmfg23xz8pqyre0m5yt4hsflz8klkva44q8uv6t5s94tcmhwqamtpwx"", ""isContract"": false, ""amount"": ""0.0051096""}]",23353,0,0000000000000000000362db65551194a05240d548f436baea0fa2d47909b0ab,unknown,1705702393000,3936,2922.12778286,1820109,675663891,50663891,35828d8d01e74c1f110bf1f0f674a5738a5b26db31a8e23dc1934a094f89b91d,bc1qte0s6pz7gsdlqq2cf6hv5mxcfksykyyyjkdfd5,73197634206448.34,0x15dfdfa7,18639
36b459d1709af0cbba8d3af88877a728cfe6199c388dd673f427129fcdaa1ee5,2024/1/19 23:44,0.0009316,0.000727,1,3,0.0002046,139865,2024/1/2 00:55,Confirmed,2024/01/20 01:12:41 AM,826431,"[{""inputHash"": ""bc1pxkkyg4lmg6fhhytl7swyvsge97pz4y8aznesqjvemmq2e7ng697q73awm7"", ""isContract"": false, ""amount"": ""0.0009316""}]","[{""outputHash"": ""bc1puf0pmmr7j27xtg58npeatqdjd9rk3r9cty3f4r47l28gn8w8u4hs8l4sak"", ""isContract"": false, ""amount"": ""0.000007""}, {""outputHash"": ""bc1ppjfkwpwt2aat56z48evtqenj768tejcn5rdeyhz9w65ean5aysmsetywwy"", ""isContract"": false, ""amount"": ""0.0006""}, {""outputHash"": ""bc1qq57qsshwmunwycgn7dwk4qqx0ac2amjupknm83"", ""isContract"": false, ""amount"": ""0.00012""}]",5321,0,0000000000000000000006810bb3d7b6399825f269d9996be58e5e8c31f00103,SlushPool,1705684361000,3407,17847.68928252,1636250,693745239,68745239,3673ff69940770b616c31500a642c4bf560e7e2553750b976c120fc73ec597fc,34XC8GbijKCCvppNvhw4Ra8QZdWsg8tC11,73197634206448.34,0x5c940c2f,18666
3366636bee528c6115945a9208dddc33101149f9c1e52cdefd4c0bbe5be668b8,2024/1/19 23:44,0.56365569,0.56354402,1,2,0.00011167,139865,2024/1/2 00:55,Confirmed,2024/01/20 12:18:01 AM,826426,"[{""inputHash"": ""bc1qnfw0gkk05qxl38mslc69hc6vc64mksyw6zzxhg"", ""isContract"": false, ""amount"": ""0.56365569""}]","[{""outputHash"": ""bc1qg558n683j0amwc59u3us4t794hddnzddpvm0s2"", ""isContract"": false, ""amount"": ""0.00113199""}, {""outputHash"": ""bc1qnfw0gkk05qxl38mslc69hc6vc64mksyw6zzxhg"", ""isContract"": false, ""amount"": ""0.56241203""}]",2041,0,000000000000000000016b3b04564371476a2b1db8f16d8de53cbd363ba20341,F2Pool,1705681081000,3507,19188.44635083,1618330,719666704,94666704,ab4f5bd7aaa6abaacdd0d6b90b06e1ba7552aa86c9580f4f7a9c141cf20f04b8,1K6KoYC69NnafWJ7YgtrpwJxBLiijWqwa6,73197634206448.34,0xc351c555,18671
29ce822c21a1f4b5f8e8bf3b321b3e591a7c0655ccdf8cc8320c87499159de26,2024/1/19 23:44,0.00111689,0.00100535,1,2,0.00011154,139865,2024/1/2 00:55,Confirmed,2024/01/20 12:18:01 AM,826426,"[{""inputHash"": ""bc1qpt86plahyt34xdn86c6yqvwvuxawqvp6pge5yu"", ""isContract"": false, ""amount"": ""0.00111689""}]","[{""outputHash"": ""bc1qp680a6udaqztr8mhhuajpvek4vq7y2qf56xpnh"", ""isContract"": false, ""amount"": ""0.00042377""}, {""outputHash"": ""3NQQXDkoELwkpqnaDvNXykn8ZksqfG7M5K"", ""isContract"": false, ""amount"": ""0.00058158""}]",2041,0,000000000000000000016b3b04564371476a2b1db8f16d8de53cbd363ba20341,F2Pool,1705681081000,3507,19188.44635083,1618330,719666704,94666704,ab4f5bd7aaa6abaacdd0d6b90b06e1ba7552aa86c9580f4f7a9c141cf20f04b8,1K6KoYC69NnafWJ7YgtrpwJxBLiijWqwa6,73197634206448.34,0xc351c555,18671
1a114870930d8e35bd17bddea488aff093bc3073c81dd6b235d712eea315c113,2024/1/19 23:44,0.00239589,0.0022995,1,1,9.64E-05,139865,2024/1/2 00:55,Confirmed,2024/01/20 02:15:18 AM,826436,"[{""inputHash"": ""1FcCviX8U1uZ4g5gaG1R7oRdS3QAs9i7to"", ""isContract"": false, ""amount"": ""0.00239589""}]","[{""outputHash"": ""bc1qw5g4lgy0ue474sy0wuhwx29u6kea5q9t03xcpm"", ""isContract"": false, ""amount"": ""0.0022995""}]",9078,0,00000000000000000003cb9c9276500ddd7a9c612f2a32402681b2b65f6848c8,Binance,1705688118000,3070,367.61929249,1500420,675569602,50569602,d36d9b02550a0148a8401623f651c5d240e1a70c47cdfa414edf4a99d0274b09,3L8Ck6bm3sve1vJGKo6Ht2k167YKSKi8TZ,73197634206448.34,0x2c586609,18661
000000b99852f3141594ecc37208c46d4f325d99edc4082d118035d65649589f,2024/1/19 23:44,0.0062316,0.0061872,1,1,4.44E-05,139865,2024/1/2 00:55,Confirmed,2024/01/20 06:13:13 AM,826458,"[{""inputHash"": ""bc1p5gjjmfg23xz8pqyre0m5yt4hsflz8klkva44q8uv6t5s94tcmhwqamtpwx"", ""isContract"": false, ""amount"": ""0.0062316""}]","[{""outputHash"": ""bc1pszrn5ra5dtz8eye8m8x2jmvkfkdyadp4675f04u57rp0xqn045eqsr2f3h"", ""isContract"": false, ""amount"": ""0.0061872""}]",23353,0,0000000000000000000362db65551194a05240d548f436baea0fa2d47909b0ab,unknown,1705702393000,3936,2922.12778286,1820109,675663891,50663891,35828d8d01e74c1f110bf1f0f674a5738a5b26db31a8e23dc1934a094f89b91d,bc1qte0s6pz7gsdlqq2cf6hv5mxcfksykyyyjkdfd5,73197634206448.34,0x15dfdfa7,18639
bfff3ff5506e5f0554127891f53375007b4b44d6bcb7d9010ccec98d4e154858,2024/1/19 23:44,0.002426,0.00232864,1,1,9.74E-05,139865,2024/1/2 00:55,Confirmed,2024/01/20 12:20:22 AM,826427,"[{""inputHash"": ""bc1qflcvx5t3clw3ar7uxjs4uze9l9c0ta9dn0htkc"", ""isContract"": false, ""amount"": ""0.002426""}]","[{""outputHash"": ""bc1q2vyhdzgd8qycmf2vc33lclcfy2yh442t4msuws"", ""isContract"": false, ""amount"": ""0.00232864""}]",2182,0,00000000000000000003ba29fcd36fc73c124244345c0eef44367b6565f0db1e,Foundry USA,1705681222000,2819,9846.92703665,1562374,695301134,70301134,824b81645ba7564f93e1b40272254fe5380f7e00874a0403a217306568226c44,bc1qxhmdufsvnuaaaer4ynz88fspdsxq2h9e9cetdj,73197634206448.34,0x58b95927,18670
8b00c7a064f99be55fbea7d83a03aaf8ea0b6414f6b3d3930b698f96b77020f4,2024/1/19 23:44,0.00958048,0.00945386,1,2,0.00012662,139865,2024/1/2 00:55,Confirmed,2024/01/20 12:07:41 AM,826425,"[{""inputHash"": ""bc1qd7da0l3hvumc42my3meum0l8fyppa6r45g4hkc"", ""isContract"": false, ""amount"": ""0.00958048""}]","[{""outputHash"": ""bc1qj58z8tlnw7vkpts6j7pwz6285jlmtylcdydcky"", ""isContract"": false, ""amount"": ""0.00336424""}, {""outputHash"": ""bc1q5n2j0wz8hhhmv66he3hvaj9js2mf5mhtkmlwk9"", ""isContract"": false, ""amount"": ""0.00608962""}]",1421,0,00000000000000000001083391ebdfe269b07313003fba509ab5fe4100c11ebb,F2Pool,1705680461000,3264,34199.23568135,1594515,765345062,140345062,d103aa972a5f9c748e371b974e41ef5e5fc5ac7815842b8d6bc18582335661ae,1K6KoYC69NnafWJ7YgtrpwJxBLiijWqwa6,73197634206448.34,0x0cd5be74,18672
8457bd091dde3bccad22e32dbcb1d5b82dbb7a22df2c0e2df6f9b3455ff2537d,2024/1/19 23:44,0.00339342,0.00312373,2,1,0.00026969,139865,2024/1/2 00:55,Confirmed,2024/01/20 12:07:41 AM,826425,"[{""inputHash"": ""bc1qe8w68exucmee4462ny3hrrxx3t43a7v9zqm252"", ""isContract"": false, ""amount"": ""0.00080422""}, {""inputHash"": ""bc1qe8w68exucmee4462ny3hrrxx3t43a7v9zqm252"", ""isContract"": false, ""amount"": ""0.0025892""}]","[{""outputHash"": ""1EppfqiJFuVHEdXTcBimymUJ7udNtT4Ttv"", ""isContract"": false, ""amount"": ""0.00312373""}]",1421,0,00000000000000000001083391ebdfe269b07313003fba509ab5fe4100c11ebb,F2Pool,1705680461000,3264,34199.23568135,1594515,765345062,140345062,d103aa972a5f9c748e371b974e41ef5e5fc5ac7815842b8d6bc18582335661ae,1K6KoYC69NnafWJ7YgtrpwJxBLiijWqwa6,73197634206448.34,0x0cd5be74,18672
53814ffbee5d3c09a3b262b563626655eeef15742213fa09a94352cf44b60fd7,2024/1/19 23:44,0.00161229,0.00144634,2,2,0.00016595,139865,2024/1/2 00:55,Confirmed,2024/01/20 12:18:01 AM,826426,"[{""inputHash"": ""bc1qrfnhuc98zv4t4d35z52qed0v3aya5t3dz0enj4"", ""isContract"": false, ""amount"": ""0.00020892""}, {""inputHash"": ""bc1qrfnhuc98zv4t4d35z52qed0v3aya5t3dz0enj4"", ""isContract"": false, ""amount"": ""0.00140337""}]","[{""outputHash"": ""1Dc8RzpmA6mawxbTfevGvUmk8sqEWNZrGy"", ""isContract"": false, ""amount"": ""0.00134626""}, {""outputHash"": ""bc1qrfnhuc98zv4t4d35z52qed0v3aya5t3dz0enj4"", ""isContract"": false, ""amount"": ""0.00010008""}]",2041,0,000000000000000000016b3b04564371476a2b1db8f16d8de53cbd363ba20341,F2Pool,1705681081000,3507,19188.44635083,1618330,719666704,94666704,ab4f5bd7aaa6abaacdd0d6b90b06e1ba7552aa86c9580f4f7a9c141cf20f04b8,1K6KoYC69NnafWJ7YgtrpwJxBLiijWqwa6,73197634206448.34,0xc351c555,18671
28b77d7f6d137bfe3fa8192a801aee13bb3630bc7e6298eb178460e3030ec047,2024/1/19 23:44,6.27105799,6.27083179,1,2,0.0002262,139865,2024/1/2 00:55,Confirmed,2024/01/20 12:07:41 AM,826425,"[{""inputHash"": ""bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf"", ""isContract"": false, ""amount"": ""6.27105799""}]","[{""outputHash"": ""3HKf8bT6oD1YDFLebXjfMNA8wgLS3BYT24"", ""isContract"": false, ""amount"": ""0.0259621""}, {""outputHash"": ""bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf"", ""isContract"": false, ""amount"": ""6.24486969""}]",1421,0,00000000000000000001083391ebdfe269b07313003fba509ab5fe4100c11ebb,F2Pool,1705680461000,3264,34199.23568135,1594515,765345062,140345062,d103aa972a5f9c748e371b974e41ef5e5fc5ac7815842b8d6bc18582335661ae,1K6KoYC69NnafWJ7YgtrpwJxBLiijWqwa6,73197634206448.34,0x0cd5be74,18672
277f8200c83d00802506805b566ed507a11f43421bd328a1874e5f356e7f4671,2024/1/19 23:44,4.75261489,4.7524922,1,2,0.00012269,139865,2024/1/2 00:55,Confirmed,2024/01/20 12:07:41 AM,826425,"[{""inputHash"": ""bc1qc8ee9860cdnkyej0ag5hf49pcx7uvz89lkwpr9"", ""isContract"": false, ""amount"": ""4.75261489""}]","[{""outputHash"": ""1AdvJ1RCKNWhjWQoH7DqTaEJe3KH7ff6Lk"", ""isContract"": false, ""amount"": ""0.00620049""}, {""outputHash"": ""bc1qc8ee9860cdnkyej0ag5hf49pcx7uvz89lkwpr9"", ""isContract"": false, ""amount"": ""4.74629171""}]",1421,0,00000000000000000001083391ebdfe269b07313003fba509ab5fe4100c11ebb,F2Pool,1705680461000,3264,34199.23568135,1594515,765345062,140345062,d103aa972a5f9c748e371b974e41ef5e5fc5ac7815842b8d6bc18582335661ae,1K6KoYC69NnafWJ7YgtrpwJxBLiijWqwa6,73197634206448.34,0x0cd5be74,18672
1149c33c7032aa9d7bcc8c31484db56209225e8874f5170d3191f2ad7161f289,2024/1/19 23:44,0.327995,0.327823,1,2,0.000172,139865,2024/1/2 00:55,Confirmed,2024/01/20 12:07:41 AM,826425,"[{""inputHash"": ""bc1qng7gs63s6scnt9y9am9m5px39aqt0k8ulev327"", ""isContract"": false, ""amount"": ""0.327995""}]","[{""outputHash"": ""bc1p2jf4kwhmdhlp8pwz5t0ykql6rcqzaf73cp38r3h7xp2sx7gf8pts4qcc3h"", ""isContract"": false, ""amount"": ""0.111107""}, {""outputHash"": ""bc1qt3vdx6k6cahdesl4lynlx7dvp2lz3u8rm3pxy4"", ""isContract"": false, ""amount"": ""0.216716""}]",1421,0,00000000000000000001083391ebdfe269b07313003fba509ab5fe4100c11ebb,F2Pool,1705680461000,3264,34199.23568135,1594515,765345062,140345062,d103aa972a5f9c748e371b974e41ef5e5fc5ac7815842b8d6bc18582335661ae,1K6KoYC69NnafWJ7YgtrpwJxBLiijWqwa6,73197634206448.34,0x0cd5be74,18672
